old_local,new_local,phase2_flag
0_10_6_2_1_3_4_9_7_11_8_5,0_10_6_2_1_3_4_9_7_11_8_5,0
0_10_6_2_4_11_7_9_1_5_3_8,0_10_6_2_4_11_7_9_1_5_3_8,0
0_10_6_2_5_8_1_3_4_9_7_11,0_10_6_2_5_8_1_3_4_9_7_11,0
0_10_6_2_7_9_4_3_1_5_8_11,0_10_6_2_7_9_4_3_1_5_8_11,0
0_10_6_2_8_3_5_7_9_4_1_11,0_10_6_2_8_3_5_7_9_4_1_11,0
0_10_6_2_8_5_4_9_7_3_1_11,0_10_6_2_8_5_4_9_7_3_1_11,0
0_10_6_3_11_8_2_1_7_9_5_4,0_10_6_3_11_8_2_1_7_9_5_4,0
0_10_6_3_1_5_9_7_2_4_8_11,0_10_6_3_1_5_9_7_2_4_8_11,0
0_10_6_3_1_9_5_7_11_2_4_8,0_10_6_3_1_9_5_7_11_2_4_8,0
0_10_6_3_2_11_5_4_9_1_7_8,0_10_6_3_2_11_5_4_9_1_7_8,0
0_10_6_3_2_1_7_9_11_4_5_8,0_10_6_3_2_1_7_9_11_4_5_8,0
0_10_6_3_4_7_9_2_1_5_8_11,0_10_6_3_4_7_9_2_1_5_8_11,0
0_10_6_3_5_9_1_11_8_2_4_7,0_10_6_3_5_9_1_11_8_2_4_7,0
0_10_6_3_7_4_9_2_8_11_1_5,0_10_6_3_7_4_9_2_8_11_1_5,0
0_10_6_4_2_8_7_9_1_3_5_11,0_10_6_4_2_8_7_9_1_3_5_11,0
0_10_6_4_3_7_8_9_11_5_1_2,0_10_6_4_3_7_8_9_11_5_1_2,0
0_10_6_4_7_1_9_11_3_5_2_8,0_10_6_4_7_1_9_11_3_5_2_8,0
0_10_6_4_7_3_1_5_2_8_9_11,0_10_6_4_7_3_1_5_2_8_9_11,0
0_10_6_5_11_2_7_8_4_9_1_3,0_10_6_5_11_2_7_8_4_9_1_3,0
0_10_6_5_4_2_1_3_7_8_9_11,0_10_6_5_4_2_1_3_7_8_9_11,0
0_10_6_5_4_8_9_11_7_3_2_1,0_10_6_5_4_8_9_11_7_3_2_1,0
0_10_6_7_11_3_4_9_5_8_2_1,0_10_6_7_11_3_4_9_5_8_2_1,0
0_10_6_7_3_2_11_4_9_8_1_5,0_10_6_7_3_2_11_4_9_8_1_5,0
0_10_6_7_3_2_4_8_9_1_5_11,0_10_6_7_3_2_4_8_9_1_5_11,0
0_10_6_8_2_11_3_5_9_7_1_4,0_10_6_8_2_11_3_5_9_7_1_4,0
0_10_6_8_2_11_5_3_9_4_1_7,0_10_6_8_2_11_5_3_9_4_1_7,0
